Name,Full Path,Size,Allocated,Files,Folders,% of Parent (Allocated),Last Modified,Last Accessed,Owner,Type,Dir Level (Relative)
FileServer,D:\FileServer\,837.0 GB,837.0 GB,1081,130,100.0 %,03/04/2022,04/01/2016,CORP\administrator,File Folder,0
Finance,D:\FileServer\Finance\,90.0 GB,90.0 GB,70,7,10.7 %,04/13/2015,04/26/2023,CORP\tnguyen,File Folder,1
Nimbus_final_755.pdf,D:\FileServer\Finance\Nimbus_final_755.pdf,35.0 MB,35.0 MB,1,0,0.0 %,12/23/2015,08/18/2017,CORP\dmiller,PDF File,2
Apollo_summary_96.jpg,D:\FileServer\Finance\Apollo_summary_96.jpg,1.9 MB,1.9 MB,1,0,0.0 %,08/31/2020,05/09/2022,CORP\jsmith,JPG File,2
Pioneer_notes_734.pst,D:\FileServer\Finance\Pioneer_notes_734.pst,5.7 GB,5.7 GB,1,0,6.4 %,01/14/2020,09/08/2021,CORP\tnguyen,Outlook Data File,2
Orbit925,D:\FileServer\Finance\Orbit925\,54.4 GB,54.4 GB,30,4,60.5 %,10/15/2016,10/30/2022,CORP\dmiller,File Folder,2
Quantum_final_221.tif,D:\FileServer\Finance\Orbit925\Quantum_final_221.tif,86.6 MB,86.6 MB,1,0,0.2 %,02/23/2016,05/27/2016,CORP\dmiller,TIF File,3
Titan_spec_868.psd,D:\FileServer\Finance\Orbit925\Titan_spec_868.psd,623.0 MB,623.0 MB,1,0,1.1 %,12/19/2017,02/01/2018,CORP\lokafor,PSD File,3
Pioneer_v2_997.vsdx,D:\FileServer\Finance\Orbit925\Pioneer_v2_997.vsdx,361.8 KB,364.0 KB,1,0,0.0 %,03/11/2021,01/05/2022,CORP\administrator,VSDX File,3
Pulse_spec_592.jpg,D:\FileServer\Finance\Orbit925\Pulse_spec_592.jpg,5.7 MB,5.7 MB,1,0,0.0 %,10/12/2015,11/27/2015,CORP\rgarcia,JPG File,3
Orbit_budget_82.png,D:\FileServer\Finance\Orbit925\Orbit_budget_82.png,846.9 KB,848.0 KB,1,0,0.0 %,04/06/2019,01/15/2020,CORP\lokafor,PNG File,3
Beacon_spec_167.psd,D:\FileServer\Finance\Orbit925\Beacon_spec_167.psd,368.6 MB,368.6 MB,1,0,0.7 %,05/08/2017,03/25/2019,CORP\tnguyen,PSD File,3
Summit_v1_624.pst,D:\FileServer\Finance\Orbit925\Summit_v1_624.pst,16.7 GB,16.7 GB,1,0,30.7 %,03/06/2023,11/11/2023,CORP\achen,Outlook Data File,3
Horizon_review_277.pst,D:\FileServer\Finance\Orbit925\Horizon_review_277.pst,4.3 GB,4.3 GB,1,0,7.8 %,03/20/2024,04/21/2024,CORP\kpatel,Outlook Data File,3
Backups,D:\FileServer\Finance\Orbit925\Backups\,10.6 GB,10.6 GB,7,0,19.5 %,09/29/2015,05/14/2017,CORP\administrator,File Folder,3
Nimbus_Q3_406.pst,D:\FileServer\Finance\Orbit925\Backups\Nimbus_Q3_406.pst,5.9 GB,5.9 GB,1,0,55.4 %,12/20/2017,05/11/2018,CORP\rgarcia,Outlook Data File,4
Summit_minutes_552.zip,D:\FileServer\Finance\Orbit925\Backups\Summit_minutes_552.zip,598.7 MB,598.7 MB,1,0,5.5 %,10/21/2019,06/09/2021,CORP\dmiller,ZIP File,4
Atlas_data_142.iso,D:\FileServer\Finance\Orbit925\Backups\Atlas_data_142.iso,2.1 GB,2.1 GB,1,0,19.5 %,06/23/2023,08/10/2023,CORP\mwilson,Disc Image File,4
Falcon_draft_812.accdb,D:\FileServer\Finance\Orbit925\Backups\Falcon_draft_812.accdb,865.5 MB,865.5 MB,1,0,8.0 %,09/08/2021,11/12/2021,CORP\dmiller,Access Database,4
Vertex_Q2_542.zip,D:\FileServer\Finance\Orbit925\Backups\Vertex_Q2_542.zip,566.6 MB,566.6 MB,1,0,5.2 %,08/26/2024,09/06/2024,CORP\mwilson,ZIP File,4
Beacon_minutes_769.zip,D:\FileServer\Finance\Orbit925\Backups\Beacon_minutes_769.zip,656.4 MB,656.4 MB,1,0,6.0 %,10/25/2018,02/16/2019,CORP\tnguyen,ZIP File,4
Vertex_draft_465.pptx,D:\FileServer\Finance\Orbit925\Backups\Vertex_draft_465.pptx,46.4 MB,46.4 MB,1,0,0.4 %,10/27/2024,12/31/2025,CORP\tnguyen,PPTX File,4
2022,D:\FileServer\Finance\Orbit925\2022\,18.2 GB,18.2 GB,3,0,33.5 %,07/18/2023,01/01/2017,CORP\svc_backup,File Folder,3
Pulse_budget_862.pst,D:\FileServer\Finance\Orbit925\2022\Pulse_budget_862.pst,18.1 GB,18.1 GB,1,0,99.1 %,03/25/2017,08/28/2017,CORP\kpatel,Outlook Data File,4
Orbit_draft_553.tif,D:\FileServer\Finance\Orbit925\2022\Orbit_draft_553.tif,136.2 MB,136.2 MB,1,0,0.7 %,04/20/2025,04/20/2025,CORP\administrator,TIF File,4
Atlas_Q3_20.pdf,D:\FileServer\Finance\Orbit925\2022\Atlas_Q3_20.pdf,23.3 MB,23.3 MB,1,0,0.1 %,11/08/2024,09/18/2025,CORP\rgarcia,PDF File,4
Archive,D:\FileServer\Finance\Orbit925\Archive\,246.2 MB,246.2 MB,3,0,0.4 %,09/13/2017,11/05/2024,CORP\administrator,File Folder,3
Titan_Q3_836.xlsx,D:\FileServer\Finance\Orbit925\Archive\Titan_Q3_836.xlsx,17.1 MB,17.1 MB,1,0,6.9 %,08/03/2023,12/09/2023,CORP\achen,XLSX File,4
Beacon_Q3_970.dat,D:\FileServer\Finance\Orbit925\Archive\Beacon_Q3_970.dat,42.3 MB,42.3 MB,1,0,17.2 %,12/21/2017,06/14/2019,CORP\administrator,DAT File,4
Vertex_notes_952.dat,D:\FileServer\Finance\Orbit925\Archive\Vertex_notes_952.dat,186.9 MB,186.9 MB,1,0,75.9 %,09/26/2022,04/19/2023,CORP\tnguyen,DAT File,4
Old,D:\FileServer\Finance\Orbit925\Old\,3.3 GB,3.3 GB,9,0,6.1 %,07/14/2022,04/15/2022,CORP\kpatel,File Folder,3
Pioneer_Q2_124.png,D:\FileServer\Finance\Orbit925\Old\Pioneer_Q2_124.png,1.8 MB,1.8 MB,1,0,0.1 %,09/20/2015,08/31/2016,CORP\jsmith,PNG File,4
Catalyst_minutes_236.xml,D:\FileServer\Finance\Orbit925\Old\Catalyst_minutes_236.xml,3.5 MB,3.5 MB,1,0,0.1 %,01/30/2015,04/12/2015,CORP\jsmith,XML File,4
Nimbus_v1_928.docx,D:\FileServer\Finance\Orbit925\Old\Nimbus_v1_928.docx,2.7 MB,2.7 MB,1,0,0.1 %,10/18/2015,03/27/2017,CORP\rgarcia,DOCX File,4
Quantum_Q3_220.dat,D:\FileServer\Finance\Orbit925\Old\Quantum_Q3_220.dat,33.9 MB,33.9 MB,1,0,1.0 %,02/10/2023,09/16/2024,CORP\administrator,DAT File,4
Horizon_data_804.bak,D:\FileServer\Finance\Orbit925\Old\Horizon_data_804.bak,3.2 GB,3.2 GB,1,0,98.0 %,02/18/2017,05/25/2017,CORP\mwilson,BAK File,4
Beacon_Q1_363.msg,D:\FileServer\Finance\Orbit925\Old\Beacon_Q1_363.msg,851.7 KB,852.0 KB,1,0,0.0 %,03/27/2020,04/12/2022,CORP\jsmith,MSG File,4
Beacon_v2_63.vsdx,D:\FileServer\Finance\Orbit925\Old\Beacon_v2_63.vsdx,1.4 MB,1.4 MB,1,0,0.0 %,12/24/2023,04/13/2024,CORP\rgarcia,VSDX File,4
Nimbus_notes_550.log,D:\FileServer\Finance\Orbit925\Old\Nimbus_notes_550.log,9.0 MB,9.0 MB,1,0,0.3 %,09/25/2019,03/30/2020,CORP\tnguyen,Log File,4
Horizon_data_896.xlsx,D:\FileServer\Finance\Orbit925\Old\Horizon_data_896.xlsx,14.2 MB,14.2 MB,1,0,0.4 %,01/23/2024,08/08/2025,CORP\mwilson,XLSX File,4
Apollo767,D:\FileServer\Finance\Apollo767\,8.6 GB,8.6 GB,14,1,9.5 %,01/23/2021,05/17/2024,CORP\jsmith,File Folder,2
Orbit_data_171.msg,D:\FileServer\Finance\Apollo767\Orbit_data_171.msg,1004.4 KB,1008.0 KB,1,0,0.0 %,05/25/2020,12/29/2020,CORP\dmiller,MSG File,3
Apollo_draft_389.pptx,D:\FileServer\Finance\Apollo767\Apollo_draft_389.pptx,25.2 MB,25.2 MB,1,0,0.3 %,12/22/2017,04/01/2019,CORP\tnguyen,PPTX File,3
Vertex_minutes_678.sql,D:\FileServer\Finance\Apollo767\Vertex_minutes_678.sql,62.3 MB,62.3 MB,1,0,0.7 %,09/26/2016,04/08/2017,CORP\tnguyen,SQL File,3
Nimbus_report_594.py,D:\FileServer\Finance\Apollo767\Nimbus_report_594.py,139.0 KB,140.0 KB,1,0,0.0 %,09/07/2015,10/11/2017,CORP\kpatel,Python File,3
Archive,D:\FileServer\Finance\Apollo767\Archive\,8.5 GB,8.5 GB,10,0,99.0 %,07/20/2021,05/06/2020,CORP\svc_backup,File Folder,3
Falcon_report_984.iso,D:\FileServer\Finance\Apollo767\Archive\Falcon_report_984.iso,4.4 GB,4.4 GB,1,0,52.1 %,01/31/2017,04/11/2017,CORP\administrator,Disc Image File,4
Titan_data_414.pdf,D:\FileServer\Finance\Apollo767\Archive\Titan_data_414.pdf,36.5 MB,36.5 MB,1,0,0.4 %,10/05/2017,05/20/2019,CORP\administrator,PDF File,4
Apollo_v1_430.accdb,D:\FileServer\Finance\Apollo767\Archive\Apollo_v1_430.accdb,1.2 GB,1.2 GB,1,0,13.8 %,05/04/2021,10/21/2022,CORP\kpatel,Access Database,4
Quantum_notes_686.sql,D:\FileServer\Finance\Apollo767\Archive\Quantum_notes_686.sql,40.2 MB,40.2 MB,1,0,0.5 %,09/04/2017,06/02/2018,CORP\dmiller,SQL File,4
Falcon_budget_469.dwg,D:\FileServer\Finance\Apollo767\Archive\Falcon_budget_469.dwg,96.5 MB,96.5 MB,1,0,1.1 %,06/29/2025,09/11/2025,CORP\jsmith,DWG File,4
Horizon_proposal_103.xlsx,D:\FileServer\Finance\Apollo767\Archive\Horizon_proposal_103.xlsx,17.2 MB,17.2 MB,1,0,0.2 %,05/23/2017,10/23/2018,CORP\tnguyen,XLSX File,4
Falcon_spec_903.xlsx,D:\FileServer\Finance\Apollo767\Archive\Falcon_spec_903.xlsx,7.8 MB,7.8 MB,1,0,0.1 %,02/22/2019,12/10/2019,CORP\achen,XLSX File,4
Horizon_minutes_721.mp4,D:\FileServer\Finance\Apollo767\Archive\Horizon_minutes_721.mp4,2.4 GB,2.4 GB,1,0,28.9 %,01/19/2024,11/18/2025,CORP\svc_backup,MP4 File,4
Apollo_minutes_307.accdb,D:\FileServer\Finance\Apollo767\Archive\Apollo_minutes_307.accdb,213.1 MB,213.1 MB,1,0,2.5 %,07/12/2025,11/26/2025,CORP\tnguyen,Access Database,4
Titan_v2_761.dat,D:\FileServer\Finance\Apollo767\Archive\Titan_v2_761.dat,39.8 MB,39.8 MB,1,0,0.5 %,01/20/2018,11/04/2018,CORP\administrator,DAT File,4
Engineering,D:\FileServer\Engineering\,50.7 GB,50.7 GB,76,8,6.1 %,05/12/2017,01/18/2023,CORP\kpatel,File Folder,1
Beacon_export_518.bak,D:\FileServer\Engineering\Beacon_export_518.bak,209.0 MB,209.0 MB,1,0,0.4 %,02/11/2022,04/20/2023,CORP\tnguyen,BAK File,2
Apollo_summary_342.tif,D:\FileServer\Engineering\Apollo_summary_342.tif,34.0 MB,34.0 MB,1,0,0.1 %,02/22/2022,11/17/2022,CORP\achen,TIF File,2
Summit_Q2_565.sql,D:\FileServer\Engineering\Summit_Q2_565.sql,54.7 MB,54.7 MB,1,0,0.1 %,04/16/2021,04/25/2021,CORP\mwilson,SQL File,2
Summit252,D:\FileServer\Engineering\Summit252\,23.6 GB,23.6 GB,27,2,46.6 %,02/12/2021,05/28/2015,CORP\kpatel,File Folder,2
Vertex_final_43.mp4,D:\FileServer\Engineering\Summit252\Vertex_final_43.mp4,1.5 GB,1.5 GB,1,0,6.2 %,01/30/2025,03/11/2025,CORP\kpatel,MP4 File,3
Nimbus_data_683.pdf,D:\FileServer\Engineering\Summit252\Nimbus_data_683.pdf,22.7 MB,22.7 MB,1,0,0.1 %,10/01/2023,04/26/2025,CORP\dmiller,PDF File,3
